,title,link,link_alternative,link_icon,summary,datatakesensingstart,beginposition,endposition,ingestiondate,orbitnumber,relativeorbitnumber,cloudcoverpercentage,sensoroperationalmode,gmlfootprint,footprint,tileid,hv_order_tileid,format,processingbaseline,platformname,filename,instrumentname,instrumentshortname,size,s2datatakeid,producttype,platformidentifier,orbitdirection,platformserialidentifier,processinglevel,identifier,level1cpdiidentifier,uuid
006b4ca2-6007-4c11-a32a-022d4f79fdec,S2A_MSIL1C_20190426T160521_N0207_R054_T16PHR_20190426T205433,https://scihub.copernicus.eu/apihub/odata/v1/Products('006b4ca2-6007-4c11-a32a-022d4f79fdec')/$value,https://scihub.copernicus.eu/apihub/odata/v1/Products('006b4ca2-6007-4c11-a32a-022d4f79fdec')/,https://scihub.copernicus.eu/apihub/odata/v1/Products('006b4ca2-6007-4c11-a32a-022d4f79fdec')/Products('Quicklook')/$value,"Date: 2019-04-26T16:05:21.024Z, Instrument: MSI, Mode: , Satellite: Sentinel-2, Size: 798.57 MB",2019-04-26 16:05:21.024,2019-04-26 16:05:21.024,2019-04-26 16:05:21.024,2019-04-26 22:42:34.036,20071,54,41.7205,INS-NOBS,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>9.94022055062098,-84.26431 9.930548905426843,-83.26428 8.939539665988862,-83.27493 8.948230037923478,-84.272156 9.94022055062098,-84.26431</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-83.27493 8.939539665988862, -83.26428 9.930548905426843, -84.26431 9.94022055062098, -84.272156 8.948230037923478, -83.27493 8.939539665988862)))",16PHR,PR16H,SAFE,02.07,Sentinel-2,S2A_MSIL1C_20190426T160521_N0207_R054_T16PHR_20190426T205433.SAFE,Multi-Spectral Instrument,MSI,798.57 MB,GS2A_20190426T160521_020071_N02.07,S2MSI1C,2015-028A,DESCENDING,Sentinel-2A,Level-1C,S2A_MSIL1C_20190426T160521_N0207_R054_T16PHR_20190426T205433,S2A_OPER_MSI_L1C_TL_MTI__20190426T205433_A020071_T16PHR_N02.07,006b4ca2-6007-4c11-a32a-022d4f79fdec
0071dc95-3b85-4353-83a1-82d61ba2aa42,S2A_MSIL1C_20181028T160511_N0206_R054_T16PHS_20181028T193702,https://scihub.copernicus.eu/apihub/odata/v1/Products('0071dc95-3b85-4353-83a1-82d61ba2aa42')/$value,https://scihub.copernicus.eu/apihub/odata/v1/Products('0071dc95-3b85-4353-83a1-82d61ba2aa42')/,https://scihub.copernicus.eu/apihub/odata/v1/Products('0071dc95-3b85-4353-83a1-82d61ba2aa42')/Products('Quicklook')/$value,"Date: 2018-10-28T16:05:11.024Z, Instrument: MSI, Mode: , Satellite: Sentinel-2, Size: 541.79 MB",2018-10-28 16:05:11.024,2018-10-28 16:05:11.024,2018-10-28 16:05:11.024,2018-10-29 14:21:21.967,17497,54,100.0,INS-NOBS,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>10.84325463083623,-84.25645399262521 10.832684732479947,-83.25354050942018 9.84173994614037,-83.26528172051377 9.851323429665095,-84.26506345323668 10.84325463083623,-84.25645399262521</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-84.25645399262521 10.84325463083623, -84.26506345323668 9.851323429665095, -83.26528172051377 9.84173994614037, -83.25354050942018 10.832684732479947, -84.25645399262521 10.84325463083623)))",16PHS,PS16H,SAFE,02.06,Sentinel-2,S2A_MSIL1C_20181028T160511_N0206_R054_T16PHS_20181028T193702.SAFE,Multi-Spectral Instrument,MSI,541.79 MB,GS2A_20181028T160511_017497_N02.06,S2MSI1C,2015-028A,DESCENDING,Sentinel-2A,Level-1C,S2A_MSIL1C_20181028T160511_N0206_R054_T16PHS_20181028T193702,,0071dc95-3b85-4353-83a1-82d61ba2aa42
0093c6f0-2147-46a8-a55c-7916faa6f097,S2A_MSIL1C_20190824T160511_N0208_R054_T17PKL_20190824T205502,https://scihub.copernicus.eu/apihub/odata/v1/Products('0093c6f0-2147-46a8-a55c-7916faa6f097')/$value,https://scihub.copernicus.eu/apihub/odata/v1/Products('0093c6f0-2147-46a8-a55c-7916faa6f097')/,https://scihub.copernicus.eu/apihub/odata/v1/Products('0093c6f0-2147-46a8-a55c-7916faa6f097')/Products('Quicklook')/$value,"Date: 2019-08-24T16:05:11.024Z, Instrument: MSI, Mode: , Satellite: Sentinel-2, Size: 791.26 MB",2019-08-24 16:05:11.024,2019-08-24 16:05:11.024,2019-08-24 16:05:11.024,2019-08-24 22:19:37.989,21787,54,22.1142,INS-NOBS,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>9.940217569697982,-83.73602 9.946907083661275,-82.73514 8.954238135659569,-82.73016 8.948227359448609,-83.72821 9.940217569697982,-83.73602</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-83.72821 8.948227359448609, -82.73016 8.954238135659569, -82.73514 9.946907083661275, -83.73602 9.940217569697982, -83.72821 8.948227359448609)))",17PKL,PL17K,SAFE,02.08,Sentinel-2,S2A_MSIL1C_20190824T160511_N0208_R054_T17PKL_20190824T205502.SAFE,Multi-Spectral Instrument,MSI,791.26 MB,GS2A_20190824T160511_021787_N02.08,S2MSI1C,2015-028A,DESCENDING,Sentinel-2A,Level-1C,S2A_MSIL1C_20190824T160511_N0208_R054_T17PKL_20190824T205502,S2A_OPER_MSI_L1C_TL_MTI__20190824T205502_A021787_T17PKL_N02.08,0093c6f0-2147-46a8-a55c-7916faa6f097
03047168-8304-48ae-a5fe-f564077b8d90,S2A_MSIL1C_20190506T160521_N0207_R054_T16PHS_20190506T210501,https://scihub.copernicus.eu/apihub/odata/v1/Products('03047168-8304-48ae-a5fe-f564077b8d90')/$value,https://scihub.copernicus.eu/apihub/odata/v1/Products('03047168-8304-48ae-a5fe-f564077b8d90')/,https://scihub.copernicus.eu/apihub/odata/v1/Products('03047168-8304-48ae-a5fe-f564077b8d90')/Products('Quicklook')/$value,"Date: 2019-05-06T16:05:21.024Z, Instrument: MSI, Mode: , Satellite: Sentinel-2, Size: 740.74 MB",2019-05-06 16:05:21.024,2019-05-06 16:05:21.024,2019-05-06 16:05:21.024,2019-05-06 22:28:00.554,20214,54,73.8044,INS-NOBS,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>10.84325463083623,-84.25644 10.832684732479947,-83.25354 9.84173994614037,-83.26529 9.851323429665095,-84.265076 10.84325463083623,-84.25644</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-83.26529 9.84173994614037, -83.25354 10.832684732479947, -84.25644 10.84325463083623, -84.265076 9.851323429665095, -83.26529 9.84173994614037)))",16PHS,PS16H,SAFE,02.07,Sentinel-2,S2A_MSIL1C_20190506T160521_N0207_R054_T16PHS_20190506T210501.SAFE,Multi-Spectral Instrument,MSI,740.74 MB,GS2A_20190506T160521_020214_N02.07,S2MSI1C,2015-028A,DESCENDING,Sentinel-2A,Level-1C,S2A_MSIL1C_20190506T160521_N0207_R054_T16PHS_20190506T210501,S2A_OPER_MSI_L1C_TL_SGS__20190506T210501_A020214_T16PHS_N02.07,03047168-8304-48ae-a5fe-f564077b8d90
0485eff7-880e-4386-91e9-ac135a88f78c,S2A_MSIL1C_20181207T160501_N0207_R054_T16PHR_20181207T192419,https://scihub.copernicus.eu/apihub/odata/v1/Products('0485eff7-880e-4386-91e9-ac135a88f78c')/$value,https://scihub.copernicus.eu/apihub/odata/v1/Products('0485eff7-880e-4386-91e9-ac135a88f78c')/,https://scihub.copernicus.eu/apihub/odata/v1/Products('0485eff7-880e-4386-91e9-ac135a88f78c')/Products('Quicklook')/$value,"Date: 2018-12-07T16:05:01.024Z, Instrument: MSI, Mode: , Satellite: Sentinel-2, Size: 777.72 MB",2018-12-07 16:05:01.024,2018-12-07 16:05:01.024,2018-12-07 16:05:01.024,2018-12-07 20:46:01.688,18069,54,18.9453,INS-NOBS,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>9.94022055062098,-84.26431 9.930548905426843,-83.26428 8.939539665988862,-83.27493 8.948230037923478,-84.272156 9.94022055062098,-84.26431</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-84.26431 9.94022055062098, -84.272156 8.948230037923478, -83.27493 8.939539665988862, -83.26428 9.930548905426843, -84.26431 9.94022055062098)))",16PHR,PR16H,SAFE,02.07,Sentinel-2,S2A_MSIL1C_20181207T160501_N0207_R054_T16PHR_20181207T192419.SAFE,Multi-Spectral Instrument,MSI,777.72 MB,GS2A_20181207T160501_018069_N02.07,S2MSI1C,2015-028A,DESCENDING,Sentinel-2A,Level-1C,S2A_MSIL1C_20181207T160501_N0207_R054_T16PHR_20181207T192419,,0485eff7-880e-4386-91e9-ac135a88f78c
056129be-455e-46bd-9f8e-c30a30a21c08,S2B_MSIL1C_20190501T160519_N0207_R054_T17PKL_20190501T192618,https://scihub.copernicus.eu/apihub/odata/v1/Products('056129be-455e-46bd-9f8e-c30a30a21c08')/$value,https://scihub.copernicus.eu/apihub/odata/v1/Products('056129be-455e-46bd-9f8e-c30a30a21c08')/,https://scihub.copernicus.eu/apihub/odata/v1/Products('056129be-455e-46bd-9f8e-c30a30a21c08')/Products('Quicklook')/$value,"Date: 2019-05-01T16:05:19.024Z, Instrument: MSI, Mode: , Satellite: Sentinel-2, Size: 672.73 MB",2019-05-01 16:05:19.024,2019-05-01 16:05:19.024,2019-05-01 16:05:19.024,2019-05-02 02:18:40.749,11234,54,85.2677,INS-NOBS,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>9.940217569697982,-83.73602 9.946907083661275,-82.73514 8.954238135659569,-82.73016 8.948227359448609,-83.72821 9.940217569697982,-83.73602</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-83.72821 8.948227359448609, -82.73016 8.954238135659569, -82.73514 9.946907083661275, -83.73602 9.940217569697982, -83.72821 8.948227359448609)))",17PKL,PL17K,SAFE,02.07,Sentinel-2,S2B_MSIL1C_20190501T160519_N0207_R054_T17PKL_20190501T192618.SAFE,Multi-Spectral Instrument,MSI,672.73 MB,GS2B_20190501T160519_011234_N02.07,S2MSI1C,2017-013A,DESCENDING,Sentinel-2B,Level-1C,S2B_MSIL1C_20190501T160519_N0207_R054_T17PKL_20190501T192618,S2B_OPER_MSI_L1C_TL_SGS__20190501T192618_A011234_T17PKL_N02.07,056129be-455e-46bd-9f8e-c30a30a21c08
05c94bb0-725e-4bf3-9103-052460d5cd2d,S2B_MSIL1C_20190720T160519_N0208_R054_T16PHS_20190720T205618,https://scihub.copernicus.eu/apihub/odata/v1/Products('05c94bb0-725e-4bf3-9103-052460d5cd2d')/$value,https://scihub.copernicus.eu/apihub/odata/v1/Products('05c94bb0-725e-4bf3-9103-052460d5cd2d')/,https://scihub.copernicus.eu/apihub/odata/v1/Products('05c94bb0-725e-4bf3-9103-052460d5cd2d')/Products('Quicklook')/$value,"Date: 2019-07-20T16:05:19.024Z, Instrument: MSI, Mode: , Satellite: Sentinel-2, Size: 791.98 MB",2019-07-20 16:05:19.024,2019-07-20 16:05:19.024,2019-07-20 16:05:19.024,2019-07-20 22:35:15.361,12378,54,45.8399,INS-NOBS,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>10.84325463083623,-84.25644 10.832684732479947,-83.25354 9.84173994614037,-83.26529 9.851323429665095,-84.265076 10.84325463083623,-84.25644</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-83.26529 9.84173994614037, -83.25354 10.832684732479947, -84.25644 10.84325463083623, -84.265076 9.851323429665095, -83.26529 9.84173994614037)))",16PHS,PS16H,SAFE,02.08,Sentinel-2,S2B_MSIL1C_20190720T160519_N0208_R054_T16PHS_20190720T205618.SAFE,Multi-Spectral Instrument,MSI,791.98 MB,GS2B_20190720T160519_012378_N02.08,S2MSI1C,2017-013A,DESCENDING,Sentinel-2B,Level-1C,S2B_MSIL1C_20190720T160519_N0208_R054_T16PHS_20190720T205618,S2B_OPER_MSI_L1C_TL_EPAE_20190720T205618_A012378_T16PHS_N02.08,05c94bb0-725e-4bf3-9103-052460d5cd2d
05e815c1-0662-4a81-bd91-873db06f8470,S2B_MSIL1C_20190710T160519_N0208_R054_T16PHR_20190710T192350,https://scihub.copernicus.eu/apihub/odata/v1/Products('05e815c1-0662-4a81-bd91-873db06f8470')/$value,https://scihub.copernicus.eu/apihub/odata/v1/Products('05e815c1-0662-4a81-bd91-873db06f8470')/,https://scihub.copernicus.eu/apihub/odata/v1/Products('05e815c1-0662-4a81-bd91-873db06f8470')/Products('Quicklook')/$value,"Date: 2019-07-10T16:05:19.024Z, Instrument: MSI, Mode: , Satellite: Sentinel-2, Size: 546.77 MB",2019-07-10 16:05:19.024,2019-07-10 16:05:19.024,2019-07-10 16:05:19.024,2019-07-10 20:35:20.967,12235,54,99.2209,INS-NOBS,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>9.94022055062098,-84.26431 9.930548905426843,-83.26428 8.939539665988862,-83.27493 8.948230037923478,-84.272156 9.94022055062098,-84.26431</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-83.27493 8.939539665988862, -83.26428 9.930548905426843, -84.26431 9.94022055062098, -84.272156 8.948230037923478, -83.27493 8.939539665988862)))",16PHR,PR16H,SAFE,02.08,Sentinel-2,S2B_MSIL1C_20190710T160519_N0208_R054_T16PHR_20190710T192350.SAFE,Multi-Spectral Instrument,MSI,546.77 MB,GS2B_20190710T160519_012235_N02.08,S2MSI1C,2017-013A,DESCENDING,Sentinel-2B,Level-1C,S2B_MSIL1C_20190710T160519_N0208_R054_T16PHR_20190710T192350,S2B_OPER_MSI_L1C_TL_SGS__20190710T192350_A012235_T16PHR_N02.08,05e815c1-0662-4a81-bd91-873db06f8470
061b9ba0-7ffc-48a3-bebf-38eb474d1690,S2B_MSIL1C_20190819T160519_N0208_R054_T16PHR_20190819T205547,https://scihub.copernicus.eu/apihub/odata/v1/Products('061b9ba0-7ffc-48a3-bebf-38eb474d1690')/$value,https://scihub.copernicus.eu/apihub/odata/v1/Products('061b9ba0-7ffc-48a3-bebf-38eb474d1690')/,https://scihub.copernicus.eu/apihub/odata/v1/Products('061b9ba0-7ffc-48a3-bebf-38eb474d1690')/Products('Quicklook')/$value,"Date: 2019-08-19T16:05:19.024Z, Instrument: MSI, Mode: , Satellite: Sentinel-2, Size: 655.38 MB",2019-08-19 16:05:19.024,2019-08-19 16:05:19.024,2019-08-19 16:05:19.024,2019-08-19 23:51:08.177,12807,54,93.4891,INS-NOBS,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>9.94022055062098,-84.26431 9.930548905426843,-83.26428 8.939539665988862,-83.27493 8.948230037923478,-84.272156 9.94022055062098,-84.26431</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-83.27493 8.939539665988862, -83.26428 9.930548905426843, -84.26431 9.94022055062098, -84.272156 8.948230037923478, -83.27493 8.939539665988862)))",16PHR,PR16H,SAFE,02.08,Sentinel-2,S2B_MSIL1C_20190819T160519_N0208_R054_T16PHR_20190819T205547.SAFE,Multi-Spectral Instrument,MSI,655.38 MB,GS2B_20190819T160519_012807_N02.08,S2MSI1C,2017-013A,DESCENDING,Sentinel-2B,Level-1C,S2B_MSIL1C_20190819T160519_N0208_R054_T16PHR_20190819T205547,S2B_OPER_MSI_L1C_TL_EPAE_20190819T205547_A012807_T16PHR_N02.08,061b9ba0-7ffc-48a3-bebf-38eb474d1690
0685e896-40dd-4b12-83ee-b658db2a5da2,S2A_MSIL1C_20190526T160511_N0207_R054_T16PHR_20190526T210316,https://scihub.copernicus.eu/apihub/odata/v1/Products('0685e896-40dd-4b12-83ee-b658db2a5da2')/$value,https://scihub.copernicus.eu/apihub/odata/v1/Products('0685e896-40dd-4b12-83ee-b658db2a5da2')/,https://scihub.copernicus.eu/apihub/odata/v1/Products('0685e896-40dd-4b12-83ee-b658db2a5da2')/Products('Quicklook')/$value,"Date: 2019-05-26T16:05:11.024Z, Instrument: MSI, Mode: , Satellite: Sentinel-2, Size: 571.68 MB",2019-05-26 16:05:11.024,2019-05-26 16:05:11.024,2019-05-26 16:05:11.024,2019-05-26 22:56:55.791,20500,54,98.0548,INS-NOBS,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>9.94022055062098,-84.26431 9.930548905426843,-83.26428 8.939539665988862,-83.27493 8.948230037923478,-84.272156 9.94022055062098,-84.26431</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-83.27493 8.939539665988862, -83.26428 9.930548905426843, -84.26431 9.94022055062098, -84.272156 8.948230037923478, -83.27493 8.939539665988862)))",16PHR,PR16H,SAFE,02.07,Sentinel-2,S2A_MSIL1C_20190526T160511_N0207_R054_T16PHR_20190526T210316.SAFE,Multi-Spectral Instrument,MSI,571.68 MB,GS2A_20190526T160511_020500_N02.07,S2MSI1C,2015-028A,DESCENDING,Sentinel-2A,Level-1C,S2A_MSIL1C_20190526T160511_N0207_R054_T16PHR_20190526T210316,S2A_OPER_MSI_L1C_TL_MTI__20190526T210316_A020500_T16PHR_N02.07,0685e896-40dd-4b12-83ee-b658db2a5da2
